127.0.0.1 - - [18/Jan/2023:12:51:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160308
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/fontawesome.css HTTP/1.1" 200 23742
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/templatemo-grad-school.css HTTP/1.1" 200 29681
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/assets/css/owl.css HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/assets/css/lightbox.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 206 6129513
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:20 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:32 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:33 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:33 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:33 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:43 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:43 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:44 +0530] "GET /online/images/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:47 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:47 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:48 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:51:48 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:02 +0530] "GET /online/loginadmin?a_id=A001&pass=1234&name=Ravi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:02 +0530] "GET /online/loginadmin?a_id=A001&pass=1234&name=Ravi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:05 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:05 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:07 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:07 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:07 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:09 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:19 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:21 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:21 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:21 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:26 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:48 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:49 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:52:49 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:05 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:05 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 206 6129513
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:08 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:08 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:08 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:10 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:14 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
