127.0.0.1 - - [04/Feb/2023:14:51:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:44 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:44 +0530] "GET /online/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160308
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:44 +0530] "GET /online/fontawesome.css HTTP/1.1" 200 23742
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:44 +0530] "GET /online/templatemo-grad-school.css HTTP/1.1" 200 29681
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:44 +0530] "GET /online/assets/css/owl.css HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:44 +0530] "GET /online/assets/css/lightbox.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:45 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:45 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:45 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:45 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 206 6129513
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:51 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:51 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:51 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:51 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:54 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:55 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:51:56 +0530] "GET /online/images/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:07 +0530] "GET /online/loginadmin?a_id=A001&pass=1234&name=Ravi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:07 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:09 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:09 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:09 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/admindash.jsp HTTP/1.1" 200 7400
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/chart/chart.min.js HTTP/1.1" 200 194890
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/asset/css/bootstrap.min.css HTTP/1.1" 200 164309
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9060
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/asset/css/style.css HTTP/1.1" 200 4998
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 200 32832
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:14 +0530] "GET /online/asset/js/main.js HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:16 +0530] "GET /online/img/favicon.ico HTTP/1.1" 404 781
